filename,width,height,class,xmin,ymin,xmax,ymax,damage_type,cost
1134.jpeg,224,224,bumper_scratch,1,1,224,210,bumper_scratch,28000
1152.jpeg,224,224,bumper_scratch,103,66,207,188,bumper_scratch,23000
1168.jpeg,224,224,bumper_scratch,60,135,93,173,bumper_scratch,29500
1171.jpeg,224,224,bumper_scratch,68,52,152,152,bumper_scratch,13700
1185.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,12600
1229.jpeg,224,224,bumper_scratch,67,62,224,224,bumper_scratch,13700
1235.jpeg,224,224,bumper_scratch,12,48,170,168,bumper_scratch,12800
1239.jpeg,224,224,bumper_scratch,112,108,150,152,bumper_scratch,28000
1248.jpeg,224,224,bumper_scratch,72,97,154,149,bumper_scratch,23000
1308.jpeg,224,224,bumper_scratch,1,1,224,199,bumper_scratch,29500
1310.jpeg,224,224,bumper_scratch,42,60,156,139,bumper_scratch,30200
1336.jpeg,224,224,bumper_scratch,105,62,224,180,bumper_scratch,27500
1339.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,28500
1355.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,30500
1366.jpeg,224,224,bumper_scratch,109,45,224,187,bumper_scratch,28000
137.jpeg,224,224,bumper_scratch,1,1,224,202,bumper_scratch,23000
1373.jpeg,224,224,bumper_scratch,80,93,163,168,bumper_scratch,29500
1392.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
1399.jpeg,224,224,bumper_scratch,1,1,222,201,bumper_scratch,28000
140.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
1414.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
1431.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
1437.jpeg,224,224,bumper_scratch,46,72,179,174,bumper_scratch,12600
1497.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
172.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,12800
175.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,28000
207.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
223.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
232.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
244.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,28000
260.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
263.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
27.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
292.jpeg,224,224,bumper_scratch,1,1,224,208,bumper_scratch,12600
295.jpeg,224,224,bumper_scratch,1,1,224,175,bumper_scratch,13700
296.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,28000
306.jpeg,224,224,bumper_scratch,1,1,224,201,bumper_scratch,23000
327.jpeg,224,224,bumper_scratch,1,1,224,203,bumper_scratch,29500
340.jpeg,224,224,bumper_scratch,1,1,224,198,bumper_scratch,13700
381.jpeg,224,224,bumper_scratch,1,11,224,212,bumper_scratch,12600
393.jpeg,224,224,bumper_scratch,1,1,224,223,bumper_scratch,13700
410.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,12800
414.jpeg,224,224,bumper_scratch,68,103,167,181,bumper_scratch,28000
436.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
439.jpeg,224,224,bumper_scratch,1,1,181,207,bumper_scratch,29500
476.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
498.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,12800
499.jpeg,224,224,bumper_scratch,1,1,224,221,bumper_scratch,28000
508.jpeg,224,224,bumper_scratch,1,1,224,152,bumper_scratch,23000
535.jpeg,224,224,bumper_scratch,1,1,224,202,bumper_scratch,29500
56.jpeg,224,224,bumper_scratch,1,1,224,203,bumper_scratch,12800
573.jpeg,224,224,bumper_scratch,1,1,224,202,bumper_scratch,28000
575.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
589.jpeg,224,224,bumper_scratch,1,1,224,208,bumper_scratch,29500
606.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
607.jpeg,224,224,bumper_scratch,1,25,224,174,bumper_scratch,12600
618.jpeg,224,224,bumper_scratch,1,37,224,203,bumper_scratch,13700
627.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,12800
631.jpeg,224,224,bumper_scratch,1,1,116,212,bumper_scratch,28000
648.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
714.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
728.jpeg,224,224,bumper_scratch,137,44,224,223,bumper_scratch,12800
736.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,10200
748.jpeg,224,224,bumper_scratch,1,1,224,222,bumper_scratch,28000
757.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
758.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
764.jpeg,224,224,bumper_scratch,1,1,224,184,bumper_scratch,13700
776.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,12600
781.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
784.jpeg,224,224,bumper_scratch,1,1,224,212,bumper_scratch,12800
785.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,28000
813.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,23000
816.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
818.jpeg,224,224,bumper_scratch,1,10,99,224,bumper_scratch,10200
866.jpeg,224,224,bumper_scratch,1,1,224,210,bumper_scratch,28000
875.jpeg,224,224,bumper_scratch,89,57,183,147,bumper_scratch,23000
90.jpeg,224,224,bumper_scratch,1,1,224,223,bumper_scratch,29500
907.jpeg,224,224,bumper_scratch,1,1,224,160,bumper_scratch,13700
920.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,12600
934.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,13700
958.jpeg,224,224,bumper_scratch,2,1,224,222,bumper_scratch,12800
959.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,28000
960.jpeg,224,224,bumper_scratch,83,75,224,222,bumper_scratch,23000
969.jpeg,224,224,bumper_scratch,43,1,224,224,bumper_scratch,29500
100.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
1005.jpeg,224,224,door_dent,24,1,224,224,door_dent,26000
1013.jpeg,224,224,door_dent,1,1,224,224,door_dent,32300
1015.jpeg,224,224,door_dent,1,1,224,224,door_dent,22000
1033.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
1036.jpeg,224,224,door_dent,1,1,224,224,door_dent,31600
1043.jpeg,224,224,door_dent,38,58,199,202,door_dent,26000
1048.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
1055.jpeg,224,224,door_dent,1,1,158,224,door_dent,29300
1057.jpeg,224,224,door_dent,1,1,224,204,door_dent,32000
1086.jpeg,224,224,door_dent,1,1,224,209,door_dent,28000
1089.jpeg,224,224,door_dent,1,1,224,203,door_dent,23000
1090.jpeg,224,224,door_dent,1,1,224,224,door_dent,29500
1099.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
1103.jpeg,224,224,door_dent,1,1,224,204,door_dent,26000
1122.jpeg,224,224,door_dent,1,1,224,224,door_dent,32300
1138.jpeg,224,224,door_dent,1,27,224,190,door_dent,22000
1149.jpeg,224,224,door_dent,138,87,224,207,door_dent,28200
1155.jpeg,224,224,door_dent,40,71,119,169,door_dent,31600
1173.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
1187.jpeg,224,224,door_dent,85,6,208,145,door_dent,36000
1199.jpeg,224,224,door_dent,10,59,158,154,door_dent,29300
12.jpeg,224,224,door_dent,1,1,203,224,door_dent,32000
1203.jpeg,224,224,door_dent,25,54,103,119,door_dent,28000
1205.jpeg,224,224,door_dent,78,59,177,154,door_dent,23000
1217.jpeg,224,224,door_dent,101,82,156,149,door_dent,29500
1219.jpeg,224,224,door_dent,71,45,150,138,door_dent,26000
122.jpeg,224,224,door_dent,1,1,224,209,door_dent,26000
1220.jpeg,224,224,door_dent,58,47,176,148,door_dent,32300
1225.jpeg,224,224,door_dent,1,58,120,164,door_dent,22000
1241.jpeg,224,224,door_dent,36,116,160,197,door_dent,28200
1245.jpeg,224,224,door_dent,1,1,223,224,door_dent,31600
1253.jpeg,224,224,door_dent,36,82,209,155,door_dent,26000
1255.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
1257.jpeg,224,224,door_dent,1,1,224,224,door_dent,29300
1272.jpeg,224,224,door_dent,1,45,203,224,door_dent,32000
1276.jpeg,224,224,door_dent,44,71,142,190,door_dent,28000
1279.jpeg,224,224,door_dent,1,1,224,224,door_dent,23000
1284.jpeg,224,224,door_dent,76,39,178,168,door_dent,29500
1291.jpeg,224,224,door_dent,28,20,210,177,door_dent,26000
13.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
1315.jpeg,224,224,door_dent,26,23,174,181,door_dent,32300
1343.jpeg,224,224,door_dent,1,1,224,224,door_dent,22000
1347.jpeg,224,224,door_dent,1,1,224,172,door_dent,28200
1350.jpeg,224,224,door_dent,1,1,224,203,door_dent,31600
1352.jpeg,224,224,door_dent,9,60,77,127,door_dent,26000
1353.jpeg,224,224,door_dent,1,1,224,212,door_dent,36000
136.jpeg,224,224,door_dent,1,1,224,224,door_dent,29300
1360.jpeg,224,224,door_dent,117,75,224,213,door_dent,32000
1381.jpeg,224,224,door_dent,1,1,223,221,door_dent,28000
1386.jpeg,224,224,door_dent,81,73,170,175,door_dent,23000
1394.jpeg,224,224,door_dent,43,78,178,191,door_dent,29500
1397.jpeg,224,224,door_dent,50,4,187,179,door_dent,26000
1398.jpeg,224,224,door_dent,1,2,196,216,door_dent,26000
1402.jpeg,224,224,door_dent,65,33,200,224,door_dent,32300
1411.jpeg,224,224,door_dent,1,1,224,222,door_dent,22000
1418.jpeg,224,224,door_dent,150,131,224,224,door_dent,28200
1419.jpeg,224,224,door_dent,50,29,152,161,door_dent,31600
1429.jpeg,224,224,door_dent,43,49,167,177,door_dent,26000
1434.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
1436.jpeg,224,224,door_dent,37,48,135,178,door_dent,29300
1439.jpeg,224,224,door_dent,120,40,205,139,door_dent,32000
145.jpeg,224,224,door_dent,1,1,224,224,door_dent,28000
1453.jpeg,224,224,door_dent,42,20,167,190,door_dent,23000
1459.jpeg,224,224,door_dent,34,22,210,191,door_dent,29500
1462.jpeg,224,224,door_dent,80,44,208,124,door_dent,26000
1484.jpeg,224,224,door_dent,1,1,224,203,door_dent,26000
1485.jpeg,224,224,door_dent,27,30,150,193,door_dent,32300
1501.jpeg,224,224,door_dent,1,27,224,195,door_dent,22000
151.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
158.jpeg,224,224,door_dent,1,1,224,224,door_dent,31600
166.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
192.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
193.jpeg,224,224,door_dent,1,1,224,202,door_dent,29300
194.jpeg,224,224,door_dent,1,1,224,224,door_dent,32000
20.jpeg,224,224,door_dent,1,1,224,224,door_dent,28000
200.jpeg,224,224,door_dent,1,1,224,224,door_dent,23000
201.jpeg,224,224,door_dent,1,1,224,224,door_dent,29500
203.jpeg,224,224,door_dent,1,13,224,181,door_dent,26000
204.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
213.jpeg,224,224,door_dent,1,1,224,224,door_dent,32300
217.jpeg,224,224,door_dent,1,1,224,194,door_dent,22000
22.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
233.jpeg,224,224,door_dent,1,1,224,224,door_dent,31600
239.jpeg,224,224,door_dent,1,9,224,224,door_dent,26000
24.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
259.jpeg,224,224,door_dent,1,1,224,224,door_dent,29300
261.jpeg,224,224,door_dent,1,1,224,224,door_dent,32000
277.jpeg,224,224,door_dent,1,1,224,224,door_dent,28000
280.jpeg,224,224,door_dent,1,1,224,224,door_dent,23000
281.jpeg,224,224,door_dent,1,1,224,214,door_dent,29500
301.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
302.jpeg,224,224,door_dent,1,1,224,222,door_dent,26000
303.jpeg,224,224,door_dent,1,1,224,224,door_dent,32300
316.jpeg,224,224,door_dent,1,1,224,222,door_dent,22000
320.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
323.jpeg,224,224,door_dent,1,1,224,204,door_dent,31600
328.jpeg,224,224,door_dent,1,31,224,207,door_dent,26000
332.jpeg,224,224,door_dent,1,1,224,205,door_dent,36000
334.jpeg,224,224,door_dent,1,1,224,224,door_dent,29300
349.jpeg,224,224,door_dent,1,1,224,224,door_dent,32000
354.jpeg,224,224,door_dent,1,1,224,224,door_dent,28000
358.jpeg,224,224,door_dent,1,1,224,224,door_dent,23000
360.jpeg,224,224,door_dent,104,17,224,224,door_dent,29500
382.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
39.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
396.jpeg,224,224,door_dent,1,1,224,224,door_dent,32300
407.jpeg,224,224,door_dent,1,1,224,210,door_dent,22000
415.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
417.jpeg,224,224,door_dent,1,1,224,224,door_dent,31600
418.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
420.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
421.jpeg,224,224,door_dent,78,82,224,173,door_dent,29300
446.jpeg,224,224,door_dent,1,1,224,224,door_dent,32000
448.jpeg,224,224,door_dent,1,1,224,224,door_dent,28000
45.jpeg,224,224,door_dent,1,17,224,224,door_dent,23000
450.jpeg,224,224,door_dent,1,1,224,205,door_dent,29500
456.jpeg,224,224,door_dent,127,12,190,224,door_dent,26000
458.jpeg,224,224,door_dent,1,1,220,224,door_dent,26000
461.jpeg,224,224,door_dent,47,73,126,165,door_dent,32300
462.jpeg,224,224,door_dent,1,1,224,171,door_dent,22000
467.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
468.jpeg,224,224,door_dent,1,1,224,224,door_dent,31600
475.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
480.jpeg,224,224,door_dent,1,1,224,202,door_dent,36000
490.jpeg,224,224,door_dent,33,46,174,193,door_dent,29300
492.jpeg,224,224,door_dent,1,1,223,224,door_dent,32000
494.jpeg,224,224,door_dent,1,27,129,165,door_dent,28000
50.jpeg,224,224,door_dent,1,1,224,224,door_dent,23000
526.jpeg,224,224,door_dent,1,1,222,207,door_dent,29500
534.jpeg,224,224,door_dent,1,1,222,202,door_dent,26000
543.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
55.jpeg,224,224,door_dent,1,1,223,224,door_dent,32300
550.jpeg,224,224,door_dent,1,1,224,224,door_dent,22000
551.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
558.jpeg,224,224,door_dent,1,1,224,221,door_dent,31600
574.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
58.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
588.jpeg,224,224,door_dent,1,1,174,200,door_dent,29300
594.jpeg,224,224,door_dent,1,1,224,204,door_dent,32000
60.jpeg,224,224,door_dent,1,1,224,198,door_dent,28000
601.jpeg,224,224,door_dent,1,1,224,204,door_dent,23000
609.jpeg,224,224,door_dent,46,1,206,202,door_dent,29500
643.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
649.jpeg,224,224,door_dent,1,1,224,205,door_dent,26000
657.jpeg,224,224,door_dent,1,1,224,224,door_dent,32300
659.jpeg,224,224,door_dent,1,2,224,224,door_dent,22000
675.jpeg,224,224,door_dent,42,1,224,224,door_dent,28200
698.jpeg,224,224,door_dent,1,1,224,198,door_dent,31600
70.jpeg,224,224,door_dent,1,1,187,224,door_dent,26000
702.jpeg,224,224,door_dent,1,1,224,223,door_dent,36000
719.jpeg,224,224,door_dent,1,1,224,173,door_dent,29300
720.jpeg,224,224,door_dent,1,1,224,207,door_dent,32000
721.jpeg,224,224,door_dent,1,1,207,224,door_dent,28000
733.jpeg,224,224,door_dent,1,1,224,224,door_dent,23000
737.jpeg,224,224,door_dent,105,86,175,161,door_dent,29500
739.jpeg,224,224,door_dent,1,1,224,222,door_dent,26000
742.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
745.jpeg,224,224,door_dent,105,76,167,144,door_dent,32300
747.jpeg,224,224,door_dent,1,1,224,224,door_dent,22000
762.jpeg,224,224,door_dent,1,1,224,224,door_dent,28200
766.jpeg,224,224,door_dent,1,19,224,204,door_dent,31600
78.jpeg,224,224,door_dent,1,1,224,224,door_dent,26000
782.jpeg,224,224,door_dent,1,1,224,224,door_dent,36000
786.jpeg,224,224,door_dent,1,1,224,224,door_dent,29300
788.jpeg,224,224,door_dent,1,1,224,224,door_dent,32000
792.jpeg,224,224,door_dent,1,1,224,224,door_dent,28000
794.jpeg,224,224,door_dent,1,1,224,202,door_dent,23000
799.jpeg,224,224,door_dent,1,1,224,224,door_dent,29500
804.jpeg,224,224,door_dent,1,1,221,224,door_dent,26000
