filename,width,height,class,xmin,ymin,xmax,ymax,damage_type
000138.jpg,1000,667,glass_shatter,1,1,1000,667,glass_shatter
000139.jpg,1000,667,glass_shatter,1,2,673,667,glass_shatter
000140.jpg,1000,667,glass_shatter,379,59,806,576,glass_shatter
000141.jpg,1000,667,tail_lamp,77,2,491,667,tail_lamp
000142.jpg,1000,777,front_damage,73,1,1000,777,front_damage
000143.jpg,1000,750,glass_shatter,1,1,1000,750,glass_shatter
000144.jpg,1000,453,glass_shatter,40,18,1000,407,glass_shatter
000145.jpg,667,1000,tail_lamp,1,28,667,964,tail_lamp
000147.jpg,1000,667,door_scratch,155,1,1000,442,door_scratch
000148.jpg,1000,667,bumper_scratch,221,379,1000,620,bumper_scratch
000150.jpg,1000,667,bumper_scratch,88,179,824,601,bumper_scratch
000151.jpg,1000,667,head_lamp,78,142,759,540,head_lamp
000153.jpg,1000,704,head_lamp,414,127,763,472,head_lamp
000153.jpg,1000,704,front_damage,2,56,863,697,front_damage
000154.jpg,1000,667,front_damage,1,7,930,667,front_damage
000155.jpg,1000,667,head_lamp,106,95,846,530,head_lamp
000158.jpg,1000,667,head_lamp,531,58,1000,374,head_lamp
000160.jpg,1000,667,head_lamp,401,21,857,558,head_lamp
000161.jpg,1000,667,glass_shatter,38,1,892,667,glass_shatter
000162.jpg,1000,667,head_lamp,239,20,953,665,head_lamp
000163.jpg,667,1000,door_dent,91,333,518,935,door_dent
000164.jpg,1000,750,head_lamp,138,97,799,609,head_lamp
000168.jpg,1000,750,glass_shatter,298,22,997,747,glass_shatter
000169.jpg,1000,750,glass_shatter,1,10,1000,750,glass_shatter
000170.jpg,1000,780,glass_shatter,1,1,1000,780,glass_shatter
000171.jpg,1000,667,glass_shatter,82,87,1000,537,glass_shatter
000172.jpg,1000,750,glass_shatter,1,2,1000,675,glass_shatter
000173.jpg,1000,624,glass_shatter,3,1,1000,624,glass_shatter
000174.jpg,1000,667,glass_shatter,66,72,773,553,glass_shatter
000178.jpg,1000,654,glass_shatter,1,50,1000,654,glass_shatter
000179.jpg,1000,666,glass_shatter,3,22,883,666,glass_shatter
000180.jpg,1000,666,glass_shatter,1,1,1000,666,glass_shatter
000181.jpg,1000,666,glass_shatter,2,5,1000,666,glass_shatter
000182.jpg,1000,667,glass_shatter,3,3,1000,657,glass_shatter
000183.jpg,1000,667,glass_shatter,49,36,1000,597,glass_shatter
000184.jpg,1000,666,glass_shatter,343,1,815,666,glass_shatter
000188.jpg,1000,667,tail_lamp,2,109,838,589,tail_lamp
000189.jpg,1000,664,tail_lamp,1,2,992,600,tail_lamp
000190.jpg,1000,667,head_lamp,47,73,1000,461,head_lamp
000194.jpg,1000,667,tail_lamp,1,53,463,571,tail_lamp
000195.jpg,1000,667,head_lamp,222,158,645,436,head_lamp
000196.jpg,1000,657,glass_shatter,1,40,1000,528,glass_shatter
000197.jpg,1000,667,glass_shatter,1,201,1000,667,glass_shatter
000198.jpg,1000,714,glass_shatter,6,4,1000,714,glass_shatter
000199.jpg,1000,667,tail_lamp,179,99,923,598,tail_lamp
000200.jpg,1000,667,glass_shatter,3,5,1000,667,glass_shatter
000201.jpg,1000,563,glass_shatter,4,1,872,563,glass_shatter
000202.jpg,1000,667,glass_shatter,2,3,1000,667,glass_shatter
000203.jpg,1000,656,glass_shatter,1,93,1000,656,glass_shatter
000207.jpg,1000,666,glass_shatter,3,55,1000,555,glass_shatter
000208.jpg,1000,668,glass_shatter,2,30,1000,557,glass_shatter
000209.jpg,1000,667,severe_damage,4,2,1000,667,severe_damage
000210.jpg,1000,667,glass_shatter,1,4,1000,667,glass_shatter
000211.jpg,1000,562,glass_shatter,419,106,890,352,glass_shatter
000212.jpg,1000,665,glass_shatter,1,50,1000,665,glass_shatter
000213.jpg,662,1000,severe_damage,1,3,662,1000,severe_damage
000217.jpg,1000,666,glass_shatter,1,47,1000,666,glass_shatter
000218.jpg,1000,667,glass_shatter,5,35,1000,491,glass_shatter
000219.jpg,1000,750,glass_shatter,2,54,926,750,glass_shatter
000220.jpg,1000,667,glass_shatter,264,90,1000,549,glass_shatter
000221.jpg,1000,750,glass_shatter,1,57,1000,594,glass_shatter
000222.jpg,1000,667,glass_shatter,291,1,1000,667,glass_shatter
000223.jpg,1000,667,glass_shatter,1,1,1000,667,glass_shatter
000227.jpg,1000,667,glass_shatter,91,126,938,493,glass_shatter
000228.jpg,1000,667,glass_shatter,164,8,1000,667,glass_shatter
000229.jpg,1000,667,glass_shatter,98,1,1000,662,glass_shatter
000230.jpg,1000,667,glass_shatter,3,12,997,514,glass_shatter
000231.jpg,1000,667,glass_shatter,66,69,906,593,glass_shatter
000232.jpg,1000,563,glass_shatter,473,69,951,521,glass_shatter
000234.jpg,1000,886,door_dent,333,197,830,664,door_dent
000236.jpg,1000,667,tail_lamp,467,127,731,536,tail_lamp
000238.jpg,1000,668,tail_lamp,278,227,682,559,tail_lamp
000238.jpg,1000,668,glass_shatter,2,19,626,254,glass_shatter
000240.jpg,1000,667,bumper_scratch,27,74,583,600,bumper_scratch
000245.jpg,1000,667,glass_shatter,184,74,876,584,glass_shatter
000246.jpg,1000,662,glass_shatter,27,105,1000,575,glass_shatter
000247.jpg,1000,750,door_dent,263,2,683,457,door_dent
000248.jpg,1000,581,glass_shatter,76,227,950,581,glass_shatter
000249.jpg,1000,562,glass_shatter,6,1,992,562,glass_shatter
000250.jpg,1000,664,glass_shatter,4,49,1000,656,glass_shatter
000251.jpg,1000,631,glass_shatter,1,1,1000,631,glass_shatter
000252.jpg,1000,667,glass_shatter,176,110,1000,548,glass_shatter
000256.jpg,1000,668,glass_shatter,120,85,1000,668,glass_shatter
000257.jpg,1000,667,glass_shatter,67,115,997,400,glass_shatter
000258.jpg,1000,668,glass_shatter,2,144,1000,668,glass_shatter
000261.jpg,1000,667,glass_shatter,1,1,1000,667,glass_shatter
000262.jpg,1000,667,glass_shatter,3,1,990,667,glass_shatter
000263.jpg,1000,667,glass_shatter,273,1,1000,667,glass_shatter
000264.jpg,1000,667,glass_shatter,4,40,1000,563,glass_shatter
000265.jpg,1000,667,glass_shatter,82,3,1000,667,glass_shatter
000266.jpg,1000,750,glass_shatter,442,151,941,553,glass_shatter
000269.jpg,1000,667,glass_shatter,53,38,1000,435,glass_shatter
000273.jpg,1000,636,head_lamp,2,3,1000,629,head_lamp
000274.jpg,1000,644,head_lamp,288,1,626,476,head_lamp
000275.jpg,1000,667,head_lamp,3,49,600,609,head_lamp
000276.jpg,1000,563,head_lamp,333,23,766,315,head_lamp
000277.jpg,1000,667,head_lamp,351,214,752,522,head_lamp
000279.jpg,1000,667,glass_shatter,1,80,705,641,glass_shatter
000280.jpg,667,1000,glass_shatter,114,285,667,616,glass_shatter
000281.jpg,1000,667,tail_lamp,300,149,998,655,tail_lamp
000282.jpg,1000,647,glass_shatter,290,10,939,406,glass_shatter
000283.jpg,1000,667,glass_shatter,60,1,1000,539,glass_shatter
000284.jpg,1000,750,head_lamp,4,2,992,384,head_lamp
000285.jpg,1000,750,glass_shatter,374,288,814,647,glass_shatter
000286.jpg,1000,718,glass_shatter,1,63,1000,609,glass_shatter
000287.jpg,1000,667,glass_shatter,143,2,997,647,glass_shatter
000291.jpg,1000,667,front_damage,100,138,700,620,front_damage
000292.jpg,1000,666,front_damage,130,61,853,660,front_damage
000295.jpg,1000,667,head_lamp,48,4,855,566,head_lamp
000296.jpg,1000,668,tail_lamp,2,1,1000,666,tail_lamp
000298.jpg,1000,667,tail_lamp,79,58,854,514,tail_lamp
000302.jpg,1000,667,tail_lamp,269,22,784,503,tail_lamp
000303.jpg,1000,667,tire_damage,90,1,777,593,tire_damage
000304.jpg,1000,667,tire_damage,175,1,928,584,tire_damage
000305.jpg,1000,667,glass_shatter,27,82,952,601,glass_shatter
000306.jpg,1000,665,glass_shatter,117,106,1000,563,glass_shatter
000307.jpg,1000,667,glass_shatter,241,75,814,532,glass_shatter
000308.jpg,1000,665,glass_shatter,3,66,1000,596,glass_shatter
000309.jpg,1000,563,glass_shatter,3,1,873,563,glass_shatter
000313.jpg,1000,667,front_damage,2,7,1000,666,front_damage
000314.jpg,1000,669,glass_shatter,102,79,1000,627,glass_shatter
000315.jpg,1000,667,glass_shatter,1,2,1000,667,glass_shatter
000316.jpg,1000,667,glass_shatter,150,1,1000,667,glass_shatter
000317.jpg,1000,667,glass_shatter,230,148,1000,486,glass_shatter
000318.jpg,1000,667,glass_shatter,148,196,1000,636,glass_shatter
000319.jpg,1000,667,glass_shatter,222,53,1000,667,glass_shatter
000323.jpg,1000,667,front_damage,2,1,1000,667,front_damage
000324.jpg,667,1000,front_damage,134,79,603,543,front_damage
000325.jpg,1000,700,glass_shatter,2,3,1000,700,glass_shatter
000326.jpg,1000,488,glass_shatter,373,4,1000,454,glass_shatter
000327.jpg,1000,667,glass_shatter,4,5,1000,666,glass_shatter
000328.jpg,1000,667,glass_shatter,3,2,1000,581,glass_shatter
000329.jpg,1000,667,glass_shatter,28,34,1000,667,glass_shatter
000333.jpg,1000,667,glass_shatter,1,61,1000,667,glass_shatter
000334.jpg,1000,667,glass_shatter,2,126,1000,667,glass_shatter
000335.jpg,1000,652,glass_shatter,1,2,1000,652,glass_shatter
000336.jpg,1000,667,glass_shatter,3,60,1000,667,glass_shatter
000337.jpg,1000,750,glass_shatter,50,70,1000,647,glass_shatter
000338.jpg,1000,750,glass_shatter,81,113,1000,686,glass_shatter
000339.jpg,1000,667,glass_shatter,33,18,1000,526,glass_shatter
000344.jpg,1000,667,glass_shatter,2,140,738,588,glass_shatter
000345.jpg,1000,667,front_damage,2,4,1000,667,front_damage
000346.jpg,1000,691,tire_damage,353,152,947,668,tire_damage
000349.jpg,1000,667,bumper_scratch,224,3,1000,665,bumper_scratch
000351.jpg,1000,664,door_scratch,306,14,813,664,door_scratch
000357.jpg,1000,667,door_dent,300,51,917,667,door_dent
000358.jpg,1000,667,bumper_scratch,430,38,856,667,bumper_scratch
000359.jpg,1000,667,bumper_scratch,315,190,819,653,bumper_scratch
000360.jpg,1000,667,bumper_scratch,368,6,814,564,bumper_scratch
000361.jpg,1000,668,door_scratch,2,185,985,605,door_scratch
000362.jpg,1000,668,door_scratch,74,228,967,538,door_scratch
000363.jpg,1000,750,door_scratch,457,1,947,342,door_scratch
000364.jpg,1000,667,door_scratch,3,222,1000,667,door_scratch
000365.jpg,1000,662,door_dent,1,1,1000,662,door_dent
000366.jpg,1000,668,door_scratch,9,40,1000,646,door_scratch
000367.jpg,1000,603,bumper_scratch,15,151,445,535,bumper_scratch
000368.jpg,1000,651,door_scratch,145,279,797,595,door_scratch
000369.jpg,1000,668,bumper_scratch,188,247,571,542,bumper_scratch
000370.jpg,1000,667,glass_shatter,481,43,867,609,glass_shatter
000371.jpg,1000,667,head_lamp,369,187,876,574,head_lamp
000372.jpg,1000,667,bumper_scratch,410,9,1000,667,bumper_scratch
000373.jpg,1000,667,door_dent,421,195,957,475,door_dent
000374.jpg,1000,667,front_damage,1,21,911,641,front_damage
000375.jpg,1000,564,glass_shatter,65,26,626,396,glass_shatter
000377.jpg,1000,666,front_damage,70,68,1000,666,front_damage
000379.jpg,1000,668,bumper_scratch,1,221,606,603,bumper_scratch
000380.jpg,1000,662,door_dent,350,63,749,601,door_dent
000382.jpg,1000,666,tail_lamp,562,41,948,441,tail_lamp
000383.jpg,750,1000,bumper_scratch,146,8,574,784,bumper_scratch
000384.jpg,1000,750,bumper_scratch,355,44,1000,750,bumper_scratch
000386.jpg,1000,667,front_damage,1,27,719,667,front_damage
000388.jpg,1000,667,bumper_scratch,325,100,1000,629,bumper_scratch
000389.jpg,1000,750,door_dent,395,199,1000,637,door_dent
000390.jpg,1000,751,side_damage,15,3,1000,751,side_damage
000391.jpg,667,1000,front_damage,69,221,667,813,front_damage
000392.jpg,1000,667,side_damage,14,215,1000,634,side_damage
000393.jpg,1000,578,front_damage,308,54,967,554,front_damage
000394.jpg,1000,668,bumper_scratch,167,225,882,664,bumper_scratch
000395.jpg,1000,667,front_damage,91,90,1000,657,front_damage
000396.jpg,750,1000,door_scratch,241,344,750,1000,door_scratch
000397.jpg,1000,667,tail_lamp,3,7,905,667,tail_lamp
000398.jpg,1000,667,glass_shatter,2,2,1000,667,glass_shatter
000399.jpg,1000,667,front_damage,8,55,1000,667,front_damage
000401.jpg,667,1000,bumper_scratch,99,522,509,819,bumper_scratch
000402.jpg,1000,750,bumper_dent,200,253,802,607,bumper_dent
000403.jpg,1000,667,bumper_dent,207,100,1000,667,bumper_dent
000406.jpg,1000,785,front_damage,69,160,1000,785,front_damage
000408.jpg,1000,667,head_lamp,7,162,804,634,head_lamp
000409.jpg,1000,750,bumper_scratch,323,185,750,615,bumper_scratch
000410.jpg,1000,667,bumper_dent,106,54,624,600,bumper_dent
000411.jpg,1000,666,side_damage,23,3,1000,666,side_damage
000412.jpg,1000,583,bumper_dent,168,33,1000,557,bumper_dent
000413.jpg,1000,667,bumper_dent,3,65,717,667,bumper_dent
000414.jpg,1000,669,bumper_scratch,3,387,308,599,bumper_scratch
000416.jpg,1000,667,head_lamp,117,60,545,290,head_lamp
000416.jpg,1000,667,tire_damage,566,102,945,597,tire_damage
000419.jpg,750,1000,front_damage,1,1,750,758,front_damage
000420.jpg,750,1000,front_damage,5,1,750,863,front_damage
000421.jpg,1000,667,glass_shatter,3,1,1000,667,glass_shatter
000425.jpg,1000,667,head_lamp,1,113,581,667,head_lamp
000428.jpg,1000,652,head_lamp,18,91,787,593,head_lamp
000429.jpg,750,1000,bumper_scratch,4,569,727,860,bumper_scratch
000430.jpg,1000,667,side_damage,164,102,753,629,side_damage
000431.jpg,1000,590,front_damage,3,2,996,590,front_damage
000432.jpg,1000,667,glass_shatter,247,81,912,397,glass_shatter
000434.jpg,1000,668,glass_shatter,6,2,1000,668,glass_shatter
000435.jpg,1000,667,glass_shatter,181,64,896,520,glass_shatter
000436.jpg,1000,667,side_damage,70,17,1000,613,side_damage
000437.jpg,1000,667,door_dent,129,67,1000,512,door_dent
000438.jpg,1000,665,door_scratch,4,76,1000,659,door_scratch
000440.jpg,1000,667,door_dent,193,41,593,526,door_dent
000441.jpg,1000,667,door_scratch,110,350,884,639,door_scratch
000442.jpg,1000,662,door_scratch,252,355,548,662,door_scratch
000443.jpg,1000,662,bumper_dent,110,450,864,660,bumper_dent
000444.jpg,1000,662,side_damage,2,5,1000,656,side_damage
000446.jpg,1000,667,door_dent,112,1,661,495,door_dent
000447.jpg,1000,665,door_scratch,2,4,996,665,door_scratch
000448.jpg,1000,667,door_scratch,288,64,683,518,door_scratch
000449.jpg,1000,660,bumper_scratch,65,173,536,660,bumper_scratch
000450.jpg,1000,674,door_scratch,421,143,868,552,door_scratch
000451.jpg,1000,685,bumper_scratch,2,119,500,685,bumper_scratch
000453.jpg,1000,662,bumper_dent,310,84,775,662,bumper_dent
000455.jpg,1000,668,door_dent,3,60,1000,668,door_dent
000456.jpg,1000,668,door_dent,2,2,1000,668,door_dent
000457.jpg,1000,749,front_damage,361,297,1000,749,front_damage
000458.jpg,1000,668,bumper_scratch,306,288,1000,638,bumper_scratch
000459.jpg,1000,666,door_dent,157,197,831,570,door_dent
000460.jpg,1000,667,front_damage,3,1,1000,667,front_damage
000461.jpg,1000,667,front_damage,489,57,1000,658,front_damage
000462.jpg,1000,750,glass_shatter,4,85,1000,660,glass_shatter
000463.jpg,1000,667,tire_damage,79,7,650,626,tire_damage
000464.jpg,1000,667,glass_shatter,50,66,919,343,glass_shatter
000465.jpg,1000,667,glass_shatter,131,93,859,343,glass_shatter
000467.jpg,1000,667,head_lamp,396,34,910,422,head_lamp
000471.jpg,1000,667,glass_shatter,1,1,1000,667,glass_shatter
000472.jpg,1000,667,glass_shatter,1,2,1000,667,glass_shatter
000473.jpg,1000,667,glass_shatter,241,1,1000,472,glass_shatter
000474.jpg,1000,750,glass_shatter,94,47,1000,610,glass_shatter
000476.jpg,1000,751,bumper_scratch,134,239,716,664,bumper_scratch
000477.jpg,1000,667,bumper_scratch,117,299,801,623,bumper_scratch
000478.jpg,1000,668,bumper_scratch,3,96,1000,668,bumper_scratch
000479.jpg,667,1000,bumper_scratch,76,422,495,1000,bumper_scratch
000480.jpg,1000,750,bumper_dent,284,161,1000,695,bumper_dent
000484.jpg,1000,667,tail_lamp,292,7,576,634,tail_lamp
000485.jpg,667,1000,side_damage,125,51,599,966,side_damage
000486.jpg,667,1000,door_dent,2,324,667,877,door_dent
000487.jpg,1000,667,door_dent,2,1,1000,654,door_dent
000489.jpg,1000,667,bumper_dent,1,3,1000,667,bumper_dent
000490.jpg,1000,667,tail_lamp,212,96,583,651,tail_lamp
000494.jpg,1000,750,door_dent,10,6,1000,744,door_dent
000496.jpg,1000,750,door_dent,356,241,1000,696,door_dent
000498.jpg,1000,750,door_scratch,69,311,838,750,door_scratch
000499.jpg,1000,750,door_dent,359,374,674,701,door_dent
000500.jpg,1000,751,bumper_dent,9,1,876,747,bumper_dent
000501.jpg,1000,667,bumper_dent,81,219,549,538,bumper_dent
000501.jpg,1000,667,tail_lamp,6,74,224,334,tail_lamp
000502.jpg,749,1000,side_damage,3,6,749,1000,side_damage
000503.jpg,1000,667,side_damage,4,2,1000,530,side_damage
1.jpeg,224,224,head_lamp,1,1,223,222,head_lamp
10.jpeg,224,224,door_scratch,1,1,224,223,door_scratch
100.jpeg,224,224,door_dent,1,1,224,224,door_dent
1000.jpeg,224,224,door_scratch,1,18,224,185,door_scratch
1001.jpeg,224,224,door_scratch,1,84,224,189,door_scratch
1002.jpeg,224,224,bumper_dent,45,1,224,224,bumper_dent
1003.jpeg,224,224,No_Damage,4,45,224,204,No_Damage
1004.jpeg,224,224,tail_lamp,1,1,224,221,tail_lamp
1005.jpeg,224,224,door_dent,24,1,224,224,door_dent
1006.jpeg,224,224,bumper_dent,129,43,224,224,bumper_dent
1007.jpeg,224,224,glass_shatter,1,1,224,224,glass_shatter
1008.jpeg,224,224,bumper_scratch,1,1,224,202,bumper_scratch
1009.jpeg,224,224,head_lamp,1,1,224,212,head_lamp
101.jpeg,224,224,No_Damage,1,1,224,178,No_Damage
1010.jpeg,224,224,glass_shatter,1,1,224,224,glass_shatter
1011.jpeg,224,224,door_scratch,1,1,224,224,door_scratch
1012.jpeg,224,224,door_scratch,1,1,224,203,door_scratch
1013.jpeg,224,224,door_dent,1,1,224,224,door_dent
1014.jpeg,224,224,No_Damage,1,28,224,178,No_Damage
1015.jpeg,224,224,door_dent,1,1,224,224,door_dent
1016.jpeg,224,224,door_scratch,1,1,219,224,door_scratch
1017.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent
1018.jpeg,224,224,tail_lamp,1,53,96,179,tail_lamp
1019.jpeg,224,224,tail_lamp,29,3,210,221,tail_lamp
102.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch
1020.jpeg,224,224,bumper_dent,41,36,224,206,bumper_dent
1021.jpeg,224,224,door_scratch,1,14,224,198,door_scratch
1022.jpeg,224,224,head_lamp,1,16,224,201,head_lamp
1023.jpeg,224,224,door_scratch,1,51,224,206,door_scratch
1024.jpeg,224,224,door_scratch,1,1,224,200,door_scratch
1025.jpeg,224,224,bumper_scratch,64,79,224,224,bumper_scratch
1026.jpeg,224,224,glass_shatter,1,23,224,224,glass_shatter
1027.jpeg,224,224,No_Damage,1,67,224,180,No_Damage
1028.jpeg,224,224,tail_lamp,27,1,224,224,tail_lamp
1029.jpeg,224,224,bumper_scratch,53,66,166,182,bumper_scratch
103.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent
1030.jpeg,224,224,No_Damage,10,104,116,148,No_Damage
1031.jpeg,224,224,severe_damage,1,37,221,198,severe_damage
1032.jpeg,224,224,glass_shatter,1,1,224,224,glass_shatter
1033.jpeg,224,224,door_dent,1,1,224,224,door_dent
1034.jpeg,224,224,tail_lamp,1,36,218,206,tail_lamp
1035.jpeg,224,224,glass_shatter,1,1,224,224,glass_shatter
1036.jpeg,224,224,door_dent,1,1,224,224,door_dent
1037.jpeg,224,224,No_Damage,1,41,224,190,No_Damage
1038.jpeg,224,224,door_scratch,106,62,224,101,door_scratch
1039.jpeg,224,224,tail_lamp,1,1,178,110,tail_lamp
1039.jpeg,224,224,bumper_dent,38,94,224,224,bumper_dent
104.jpeg,224,224,No_Damage,1,20,224,181,No_Damage
1040.jpeg,224,224,tail_lamp,1,21,224,183,tail_lamp
1041.jpeg,224,224,head_lamp,1,1,224,208,head_lamp
1042.jpeg,224,224,door_scratch,96,66,224,168,door_scratch
1043.jpeg,224,224,door_dent,38,58,199,202,door_dent
1044.jpeg,224,224,head_lamp,1,1,169,137,head_lamp
1045.jpeg,224,224,glass_shatter,1,1,224,224,glass_shatter
1046.jpeg,224,224,No_Damage,1,29,224,203,No_Damage
1047.jpeg,224,224,bumper_scratch,1,38,163,195,bumper_scratch
1048.jpeg,224,224,door_dent,1,1,224,224,door_dent
